epoch,train_loss,train_crack_iou,train_crack_dice,train_tap_iou,train_tap_dice,val_crack_iou,val_crack_dice,val_tap_iou,val_tap_dice
1,0.6883682883271603,0.42249691031894526,0.5618434892741296,0.4610652886239099,0.6143026059102497,0.4420492970074216,0.5824436970331051,0.463636777844674,0.6162171820835416
2,0.4849271494486489,0.4761922635603696,0.6172769331160525,0.5001146555038882,0.6514211176170244,0.4847639575945558,0.6267621549881167,0.48530552318745324,0.6346790321811157
3,0.40813261008935287,0.510726079139815,0.6515038477380636,0.5082500341497822,0.660467509833383,0.5137250464616551,0.6562532211343447,0.48102976385683643,0.6332018100646273
4,0.37023224982908903,0.5506045720748395,0.6903702865487142,0.49285225255621806,0.64786275540605,0.5327123721302659,0.6757392533261467,0.47102528687886736,0.6199471637121877
5,0.34589345157613577,0.5596382595344701,0.6987067949973342,0.5427255840351184,0.6920773728302232,0.5397216231355236,0.6820743462208796,0.521337393077727,0.6681029871886597
6,0.31564980922821545,0.5854926410029123,0.7215352941569297,0.5812198871815646,0.7249918264647325,0.5540844959103399,0.6955858047637674,0.551791352838809,0.6949344723791412
7,0.30230165410751836,0.5804333187594124,0.718021156743933,0.5595963205268354,0.7075012115876615,0.5468376410573169,0.6890761161705962,0.5146084191000375,0.6631395207479281
8,0.2930836551195028,0.5812771061585135,0.7195975231922868,0.5933065371564877,0.7370763368628643,0.5480678074475792,0.6900378064148955,0.5775427331901947,0.7191648424234031
9,0.28281533234638856,0.6039995782685169,0.7375952181642949,0.6180387809734653,0.7568992969246559,0.5606993665573774,0.701026150253084,0.5898041365457312,0.728320559521891
10,0.2756921260100921,0.6109144985480429,0.7446284267189532,0.6261466611774615,0.7638231312787092,0.5637320990915652,0.7037562883010617,0.6085318720565652,0.7433092658812145
11,0.2637243053429179,0.6288943801683077,0.7589420882242542,0.638396720951538,0.7723053217118169,0.5741057925547163,0.7133097921946534,0.6027214242461717,0.7395996710039535
12,0.25889944126333186,0.6350516127622177,0.7644012750224113,0.6192264711323344,0.75880386531353,0.5768756822924371,0.7156462806380457,0.5919584402779363,0.7327106580981668
13,0.25230370251736295,0.6004104572063906,0.7379632116388747,0.6112277905790158,0.751915354474827,0.5567152474351503,0.6983638910093793,0.5774446699135708,0.7205770209712802
14,0.2520059462531607,0.6332260467867543,0.7634225235622385,0.6461189358598656,0.7780172599502552,0.5745855304998932,0.7132945000987362,0.6166988637930942,0.7502836535842914
15,0.2473113476342542,0.6273449622155417,0.7592784754376173,0.6456082094506717,0.7788018347304544,0.5723505847431996,0.7117821935012385,0.6239174843396781,0.7576607745492233
