epoch,train_loss,train_crack_iou,train_crack_dice,train_tap_iou,train_tap_dice,val_crack_iou,val_crack_dice,val_tap_iou,val_tap_dice
1,0.5675254672018338,0.35676753683143786,0.49415765947050094,0.4151261411883213,0.5666424424192051,0.35753024224260893,0.49583501502595567,0.41656079698564874,0.5671763685795496
2,0.48302544242349166,0.39553752855461805,0.5393216013424272,0.5269668174010737,0.6740608640659003,0.39333739214300834,0.5372276753842554,0.514679513203929,0.6605148252170041
3,0.44664311516434424,0.3877777477496223,0.5293048515021453,0.49519859722551,0.6469873939031436,0.3809460228447009,0.5221362559607735,0.4836133445771235,0.6321237192682501
4,0.4316440932335898,0.35735517338616773,0.49549246003540853,0.6528867812344321,0.7760927754787751,0.3548073663686713,0.49424627588854897,0.6269210059687776,0.7499119947260281
5,0.41918439943588637,0.40222878030920295,0.5437992780818875,0.6673191801265433,0.7861167553030415,0.3941321903425786,0.5355916648413296,0.6492479783746431,0.7652933999614896
6,0.3924211241935488,0.40742245073080724,0.5474690877430853,0.6852447122519398,0.8018726019579687,0.388895271345973,0.5301486804046565,0.6584583939105835,0.7749187420561628
7,0.3812072878253871,0.4299068969945773,0.5713703468598269,0.7044209494910858,0.8167695839647894,0.406984944248365,0.5489315238194885,0.6773227257829793,0.7907204689844599
8,0.3718799736385809,0.43315917487953093,0.5764866148935748,0.7190317260584346,0.8257403528846708,0.4114296513644082,0.5562316995665982,0.699412409286454,0.805311012239951
9,0.36444844046263114,0.4411716386541238,0.5837716090703483,0.7318631342899652,0.8349719043867088,0.4152098620724347,0.55980297367054,0.7034644796600882,0.807803915637844
10,0.35891421340102314,0.448349491867621,0.590556998871319,0.733951288291805,0.835214206520583,0.4210502177407896,0.5670581613563829,0.7025896646785286,0.8060597496212654
11,0.3476144141958425,0.4492874353008219,0.5906491135244881,0.7548932728208142,0.8512331467351796,0.41850956862930344,0.5620484486567201,0.7304400386956503,0.8299161496589769
12,0.3419500872913199,0.45251092352580913,0.5936888016456421,0.7574840556140299,0.8525871653247763,0.41499644572398176,0.5586886521014902,0.7286949644814122,0.8270412644125381
13,0.33849418712166784,0.4509758551481304,0.5929041792019889,0.7473836921615366,0.8461673533474957,0.4147306275450521,0.5590340176666224,0.7208680123934206,0.8222199953951925
14,0.335420033097454,0.45604379225461494,0.5977315448667411,0.7554260973209216,0.8520979810276149,0.4207627000632109,0.5661176634607492,0.7328683788765151,0.8333869697350376
15,0.33300361366574666,0.46187506893905866,0.6025718557355287,0.7623371366365457,0.8562770374763159,0.42122831465331495,0.5663454058338646,0.7344687058115905,0.8302410947826674
16,0.32884315870772335,0.4649640260763588,0.6050628973036518,0.7659485401562702,0.8587957174689681,0.4237674028854127,0.5684217659963502,0.7395897028299997,0.8353841758842738
17,0.3273991590897118,0.4660579979836524,0.6061749352789148,0.7654764554382842,0.8584939204984241,0.42610433294127387,0.5708426584110216,0.7411417779776285,0.8376975427820997
18,0.32578266633902225,0.46151715434375623,0.6022899466542861,0.7626981691077903,0.8566869506497442,0.4218183903058094,0.5658294184202397,0.7372148212678028,0.8350779194876833
